annual_inc,address,loan_amnt,pseudo_ID,pseudo_bin_ID,commitments
45000.0,"5390 Meyers Canyon
Cindyberg, NH 70466",15000.0,0,0,543765
25000.0,"691 Newman Spring Suite 120
East Kellyhaven, NJ 22690",9000.0,1,1,940802
38000.0,"8007 Jennifer Street Apt. 950
East Stephen, MO 70466",10200.0,2,10,5260796
81000.0,"031 Marie Green
Robinberg, DC 05113",17400.0,3,11,9606490
100000.0,"98222 Joe Inlet
Jamesshire, TX 70466",10000.0,4,100,6826059
45000.0,"95976 Anthony Mall Suite 810
North Jessica, VT 00813",12000.0,5,101,10156653
100000.0,"4196 Jones Plain Apt. 445
Tinaside, MN 70466",25000.0,6,110,10653036
100000.0,"Unit 8536 Box 6257
DPO AA 29597",7475.0,7,111,8153685
59500.0,"199 David Lane
South Virginiaberg, ND 70466",9000.0,8,1000,7662567
37000.0,"3268 Neal Port Apt. 997
Port Nicholasburgh, IA 30723",9500.0,9,1001,9501394
70000.0,"73385 Angela Fords Suite 938
Port Brittneyhaven, GA 86630",9600.0,10,1010,5716009
87000.0,"43999 Mccoy Flat
Matthewmouth, AK 00813",25000.0,11,1011,2814184
47000.0,"9607 Erika Pines Apt. 599
Amandaville, LA 22690",7700.0,12,1100,10604552
56000.0,"7983 Williams Manor Apt. 443
Sanchezfort, NC 70466",26875.0,13,1101,7651891
78000.0,"62323 Christopher Forges Apt. 968
Cindyview, RI 00813",16000.0,14,1110,6534705
90000.0,"974 Wood Squares
West Stevenfurt, KS 05113",15000.0,15,1111,10131171
92000.0,"43848 Lee Spurs
Mcclainshire, IL 29597",33000.0,16,10000,10680889
85000.0,"2705 Jennifer Trail Suite 049
Barryshire, VT 22690",25000.0,17,10001,4600331
52000.0,"929 Mora Locks
West Isaac, WV 48052",13000.0,18,10010,8592017
80000.0,"0676 Kaiser Bypass
Singhburgh, SD 22690",25000.0,19,10011,7645163
98000.0,"2390 Miller Burgs
New Steven, VA 29597",20000.0,20,10100,6808944
21600.0,"5751 John Groves Suite 100
New Gabrielborough, FL 05113",1200.0,21,10101,1381221
102000.0,"849 Gregory Fall
New Linda, FL 00813",2000.0,22,10110,2571439
64000.0,"2722 Smith Branch Suite 131
Shaunbury, NH 22690",3000.0,23,10111,9939037
120000.0,"976 Smith Bridge
West Michael, NE 30723",8400.0,24,11000,4682264
85000.0,"82177 Dean Valley Apt. 965
North George, IL 48052",24000.0,25,11001,3544940
45000.0,"2606 Kenneth Grove Apt. 292
South Jenniferhaven, WV 70466",12000.0,26,11010,2366463
25000.0,"216 Matthew Port Suite 231
Stephanieburgh, OK 22690",8275.0,27,11011,8546182
170000.0,"381 Garcia Hollow
West Oliviaport, AK 05113",25000.0,28,11100,5903751
56000.0,"81344 Melton Spur Apt. 505
Suttonfort, NY 05113",9000.0,29,11101,10779566
62000.0,"USNV Schmidt
FPO AA 48052",6000.0,30,11110,5184184
100000.0,"858 Mendez Wall Suite 366
Port Shawn, NV 29597",10000.0,31,11111,5804659
122000.0,"8000 Kevin Falls
North David, NC 05113",16225.0,32,100000,6343872
90084.0,"64559 Katelyn Locks Apt. 099
South Angela, MD 00813",15000.0,33,100001,5802130
52000.0,"Unit 3206 Box 4874
DPO AP 00813",10000.0,34,100010,10390274
75000.0,"51321 Joshua Villages Suite 660
West Amandaside, AR 05113",15000.0,35,100011,7054751
88000.0,"83337 Katherine Plaza
North Gregoryside, NE 00813",15000.0,36,100100,4179201
36000.0,"221 Antonio Grove Apt. 572
New Dana, WI 70466",10000.0,37,100101,7938727
20000.0,"584 Anderson Camp Apt. 958
Lake Jillland, AL 70466",7500.0,38,100110,2453162
