annual_inc,address,loan_amnt,pseudo_ID,pseudo_bin_ID,commitments
127000.0,"146 Chelsea Causeway
Perezhaven, WV 29597",1500.0,0,0000000000,56473
60000.0,"9994 Audrey Fords
Kellyburgh, WA 48052",1000.0,1,0000000001,2001282
50000.0,"79864 Colin Isle
Jamesbury, KY 30723",1000.0,2,0000000010,873788
75000.0,"25038 Alex Drive Suite 788
Flynntown, UT 05113",1000.0,3,0000000011,621990
60000.0,"8839 Taylor Coves
Kendrabury, OR 05113",1200.0,4,0000000100,1071501
53000.0,"89888 Porter Dale
Lake Kimberly, TN 70466",1200.0,5,0000000101,1964076
55000.0,"80716 Johnson Centers
West Leslie, VT 22690",1000.0,6,0000000110,759715
21600.0,"5751 John Groves Suite 100
New Gabrielborough, FL 05113",1200.0,7,0000000111,1269182
95000.0,"893 Joseph Motorway
West Heather, WA 05113",1600.0,8,0000001000,1005484
33048.0,"0384 Charles View Apt. 313
West Jaredfort, WV 29597",1800.0,9,0000001001,1599665
12000.0,"687 Mendoza Brooks
South Nicolefurt, GA 93700",2000.0,10,0000001010,1434451
75000.0,"USS Watson
FPO AA 22690",2000.0,11,0000001011,1885874
65500.0,"91467 Schmidt Lodge
Tracytown, KY 30723",2200.0,12,0000001100,1599696
45000.0,"724 Johnson Plains Apt. 967
North Erik, TX 70466",2000.0,13,0000001101,1338464
102000.0,"849 Gregory Fall
New Linda, FL 00813",2000.0,14,0000001110,280074
50000.0,"042 Dustin Run
West Annaland, AL 48052",2400.0,15,0000001111,1264688
36000.0,"PSC 7027, Box 0581
APO AA 86630",2200.0,16,0000010000,187561
50000.0,"PSC 9860, Box 1451
APO AA 48052",2000.0,17,0000010001,684913
30000.0,"13092 Ashlee Knolls Apt. 818
Poolebury, IL 29597",2000.0,18,0000010010,944654
57000.0,"52743 Harris Brooks Apt. 627
East Joshua, ME 30723",2200.0,19,0000010011,1942315
55000.0,"682 Kayla Forest Suite 032
West Ericafort, UT 00813",2500.0,20,0000010100,1742595
29000.0,"461 Ann Isle
Sarastad, OK 48052",2800.0,21,0000010101,1978104
42000.0,"751 Martinez Village Suite 590
North Aliciaburgh, VT 22690",2400.0,22,0000010110,1799192
61500.0,"59376 Tyler Mountain
West Nichole, VT 05113",2400.0,23,0000010111,1779706
49464.0,"Unit 9645 Box 3794
DPO AA 22690",2400.0,24,0000011000,1292574
62000.0,"Unit 6557 Box 1971
DPO AE 48052",2750.0,25,0000011001,339852
56121.24,"7056 Reyes Walks
New William, FL 48052",3000.0,26,0000011010,1624431
36500.0,"598 Jessica Parkways Suite 197
Marcbury, WY 22690",2500.0,27,0000011011,1140467
57000.0,"068 Peters Curve Apt. 810
Christopherfort, NH 70466",2850.0,28,0000011100,1504299
24000.0,"3483 White Ports
West Brianberg, TN 48052",2400.0,29,0000011101,1248598
40000.0,"Unit 3001 Box 7894
DPO AP 70466",3000.0,30,0000011110,1380868
78000.0,"PSC 8557, Box 6891
APO AE 30723",3000.0,31,0000011111,1365166
45000.0,"244 Levy Ranch Suite 346
Braunstad, CT 05113",3000.0,32,0000100000,1654615
54000.0,"82711 Frank Square Suite 431
North Kristinborough, OK 48052",3000.0,33,0000100001,770013
64000.0,"2722 Smith Branch Suite 131
Shaunbury, NH 22690",3000.0,34,0000100010,1443406
80000.0,"Unit 2354 Box 0583
DPO AA 22690",3000.0,35,0000100011,381126
39000.0,"USCGC Hamilton
FPO AA 48052",3000.0,36,0000100100,204532
41000.0,"1222 Bass Lodge Suite 583
South Kelli, NE 29597",3000.0,37,0000100101,1412284
50000.0,"27065 Wilson Trail Apt. 723
New Mariobury, DE 00813",3000.0,38,0000100110,384277
65839.0,"PSC 2605, Box 5324
APO AA 48052",3000.0,39,0000100111,1965634
12744.0,"611 Laura Extensions Suite 302
Lake Taylor, NY 22690",3375.0,40,0000101000,1009608
70000.0,"476 Nicole Ridge
Port Rhonda, MO 70466",3125.0,41,0000101001,1298358
40000.0,"015 Charles Islands Apt. 226
Lukeland, UT 11650",3050.0,42,0000101010,1192451
85000.0,"847 Ashley Forest
Hallberg, KY 70466",3500.0,43,0000101011,1962305
39648.0,"11635 Christopher Isle Suite 957
Chavezville, OR 30723",3500.0,44,0000101100,927021
58000.0,"479 Burch Neck Apt. 365
Stantonport, WY 48052",3200.0,45,0000101101,851610
28000.0,"26728 Chambers Mount Suite 568
West Keithborough, OH 93700",3500.0,46,0000101110,1456664
48000.0,"3293 Miller Glen Apt. 905
Chapmantown, NV 70466",3250.0,47,0000101111,1151444
22500.0,"361 Erica Forest
Lake Mariaton, TN 30723",3250.0,48,0000110000,643866
52000.0,"97848 Roman Circles Suite 098
New Claudiafort, RI 48052",3350.0,49,0000110001,513605
40000.0,"6720 Schmidt Coves Suite 383
New Shelby, KS 29597",3600.0,50,0000110010,786026
120000.0,"3776 Henry Turnpike
New Amberton, CO 70466",3550.0,51,0000110011,36002
17000.0,"8982 Brandon Mews Apt. 564
Melissaview, AL 48052",3800.0,52,0000110100,1467453
60000.0,"1816 Diaz Inlet Suite 004
Port Jasonview, NJ 05113",3600.0,53,0000110101,1623626
80000.0,"833 Joshua Garden
Harryfurt, CT 30723",3600.0,54,0000110110,1782534
110000.0,"4616 Cameron Harbor Apt. 602
Marthashire, ID 70466",3600.0,55,0000110111,397970
36638.0,"4786 Mccall Fort
South Amyburgh, VA 05113",3650.0,56,0000111000,760506
57600.0,"25108 Gordon Springs Apt. 346
Nicholasbury, WV 29597",3550.0,57,0000111001,2063785
64000.0,"686 Case Crest Apt. 483
Christopherville, CT 29597",3600.0,58,0000111010,512180
54000.0,"441 Hoffman Lights
Sarahton, MD 22690",3800.0,59,0000111011,853488
38100.0,"009 Jamie Parkways
Norrismouth, OH 70466",3900.0,60,0000111100,243943
125000.0,"806 Wang Forest Suite 150
Taylorside, UT 70466",4000.0,61,0000111101,1626449
60000.0,"4349 Lisa Estate
West Susan, DE 05113",4000.0,62,0000111110,526572
30000.0,"879 Peterson Forest
Port Sergio, MA 05113",4000.0,63,0000111111,1168470
70000.0,"536 Castro Inlet Suite 439
West Gina, AL 22690",3900.0,64,0001000000,668934
41499.0,"PSC 8821, Box 2694
APO AE 29597",4000.0,65,0001000001,1448808
75000.0,"6755 Wright Shore
Monicatown, NV 70466",4000.0,66,0001000010,649097
15000.0,"Unit 2096 Box 1628
DPO AA 22690",3850.0,67,0001000011,572461
21000.0,"62228 Long Plaza
Lake William, CT 86630",3825.0,68,0001000100,982431
60000.0,"08680 Kathy Junctions Suite 109
West Sydney, NY 05113",4000.0,69,0001000101,32926
97365.0,"8328 Nixon Plaza Suite 805
Jacksonside, WA 48052",4000.0,70,0001000110,14042
65000.0,"84859 Schaefer Route Apt. 346
Lake Waynestad, KS 22690",4200.0,71,0001000111,889155
24000.0,"54395 Melissa Walks
Jenniferbury, AL 05113",4200.0,72,0001001000,1655590
23000.0,"Unit 7637 Box 9298
DPO AA 30723",4000.0,73,0001001001,554651
62000.0,"17361 Carter Lake
Edwardville, CA 00813",4000.0,74,0001001010,761845
41000.0,"57499 Tiffany Wells Apt. 978
New Brianbury, DE 48052",4000.0,75,0001001011,568218
49000.0,"7489 Bianca Causeway
South Jerry, OR 05113",4000.0,76,0001001100,338393
39500.0,"99148 Christina Forks
Lake Natalie, MT 22690",4000.0,77,0001001101,72003
39953.0,"40085 Foster Club
Port Laurahaven, WY 05113",4200.0,78,0001001110,654897
41000.0,"0815 Veronica Branch
Robinsonton, MN 05113",4200.0,79,0001001111,1900612
29400.0,"054 Adam Mission Suite 172
South Mitchell, WI 70466",4600.0,80,0001010000,1770811
84000.0,"1289 Melanie Shore Suite 059
New Angelatown, MI 30723",4550.0,81,0001010001,565912
31200.0,"USNS English
FPO AP 22690",4800.0,82,0001010010,2144859
22000.0,"6560 Sarah Brook
Port Nathanland, AL 05113",4500.0,83,0001010011,180434
20000.0,"96016 Cody Ford
New Jeffreyview, NH 29597",4500.0,84,0001010100,939976
34000.0,"521 Caldwell Islands Apt. 847
Williamsstad, DE 05113",4500.0,85,0001010101,1168165
53000.0,"141 Cory Coves Apt. 097
Lake Barry, DE 00813",4500.0,86,0001010110,1411495
87000.0,"PSC 6758, Box 7133
APO AA 48052",4525.0,87,0001010111,1408172
35000.0,"8304 Michelle Glen Apt. 893
Jamesfurt, OK 48052",4800.0,88,0001011000,894542
144000.0,"678 Davenport Ridges Apt. 548
Millerville, TN 29597",4800.0,89,0001011001,1259226
60000.0,"6021 Ferguson Court Suite 591
Johnstad, DE 22690",4950.0,90,0001011010,1358388
32000.0,"Unit 3304 Box 0302
DPO AP 29597",5000.0,91,0001011011,1861120
75000.0,"25722 Horn Harbor
Lauraville, VA 30723",5000.0,92,0001011100,1377923
50000.0,"6336 Michelle Hills Apt. 058
Kevinburgh, UT 48052",5000.0,93,0001011101,1273455
26000.0,"PSC 0226, Box 2333
APO AP 22690",5000.0,94,0001011110,1714469
42000.0,"130 Silva Well Apt. 926
Jamesbury, ND 48052",5000.0,95,0001011111,1952620
46000.0,"9123 Sarah Keys Apt. 479
Lake Amy, WA 93700",5000.0,96,0001100000,516777
52000.0,"USS Rowe
FPO AA 05113",5000.0,97,0001100001,1990407
59000.0,"53117 Hoffman Causeway Suite 303
Flemingland, OR 29597",5000.0,98,0001100010,246134
17000.0,"5030 Dalton Corners
East Jonfurt, IL 48052",4950.0,99,0001100011,840322
180000.0,"50314 Nancy Branch Suite 408
Jenniferborough, ID 00813",5000.0,100,0001100100,1066192
30000.0,"624 Kristy Springs Apt. 565
Garciatown, FL 00813",5000.0,101,0001100101,289225
42000.0,"785 James Road Apt. 837
Charlesbury, DE 22690",5000.0,102,0001100110,276444
40000.0,"Unit 7803 Box 8673
DPO AA 22690",5000.0,103,0001100111,1243387
53038.0,"PSC 0455, Box 5595
APO AE 05113",5000.0,104,0001101000,519468
125000.0,"92520 Lowe Isle Apt. 895
Bryantport, DC 29597",5000.0,105,0001101001,1992884
30000.0,"PSC 1530, Box 7302
APO AE 29597",5000.0,106,0001101010,1100340
13000.0,"USCGC Reynolds
FPO AE 48052",5000.0,107,0001101011,1440250
59000.0,"38026 Louis Forks
Mooneyport, AR 70466",5000.0,108,0001101100,366145
85000.0,"USNV Martinez
FPO AP 29597",5000.0,109,0001101101,50887
20000.0,"76832 Benjamin Meadows
Lake Robertview, UT 05113",5000.0,110,0001101110,1142800
52000.0,"Unit 3656 Box 0190
DPO AE 05113",5000.0,111,0001101111,470007
52000.0,"9561 Villa Coves
Haleyfurt, DE 05113",5000.0,112,0001110000,1563513
24000.0,"2851 Heather Gardens
Lake William, NV 22690",5000.0,113,0001110001,1118209
